,0
196,2.426454
197,2.42148
198,2.418995
199,2.411433
200,2.40758899999999
201,2.396762
202,2.379866
203,2.379002
204,2.375609
205,2.37322
206,2.372618
207,2.361902
208,2.355958
209,2.346162
210,2.341423
211,2.332905
212,2.316189
213,2.331747
214,2.321763
215,2.315839
216,2.326064
217,2.321597
218,2.308182
219,2.312741
220,2.30678
221,2.299311
222,2.275214
223,2.286186
224,2.271446
225,2.269039
226,2.269841
227,2.262852
228,2.254789
229,2.24663
230,2.241487
231,2.240567
232,2.235793
233,2.235438
234,2.22111199999999
235,2.209736
236,2.206147
237,2.206643
238,2.18722
239,2.180031
240,2.17762999999999
241,2.16808
242,2.15421699999999
243,2.141562
244,2.127143
245,2.100213
246,2.087785
247,2.068311
248,2.059399
249,2.043991
250,2.006613
251,1.98672999999999
252,1.978916
253,1.966345
254,1.959152
255,1.932108
256,1.913475
257,1.900723
258,1.88101699999999
259,1.87910699999999
260,1.88099399999999
261,1.85794599999999
262,1.827625
263,1.807334
264,1.785364
265,1.777221
266,1.763098
267,1.755925
268,1.745743
269,1.728572
270,1.68804199999999
271,1.676985
272,1.668195
273,1.657722
274,1.64396899999999
275,1.619847
276,1.6049
277,1.598032
278,1.591552
279,1.568329
280,1.561676
281,1.546442
282,1.530628
283,1.51562099999999
284,1.487822
285,1.466357
286,1.460807
287,1.449137
288,1.44128
289,1.426804
290,1.410569
291,1.386142
292,2.462352
293,2.439831
294,2.438328
295,2.427461
296,2.422536
297,2.419998
298,2.412635
299,2.40861199999999
300,2.397584
301,2.381596
302,2.38019599999999
303,2.376198
304,2.373453
305,2.371543
306,2.36249599999999
307,2.35636699999999
308,2.344372
309,2.345405
310,2.33242799999999
311,2.317715
312,2.33193499999999
313,2.322111
314,2.317024
315,2.326361
316,2.321946
317,2.309265
318,2.310864
319,2.30483199999999
320,2.30069
321,2.27864599999999
322,2.290527
323,2.272968
324,2.270983
325,2.270479
326,2.266279
327,2.26131
328,2.238024
329,2.256206
330,2.244855
331,2.244345
332,2.240839
333,2.230848
334,2.222906
335,2.217392
336,2.225424
337,2.209829
338,2.208926
339,2.21397599999999
340,2.212383
341,2.207088
342,2.202483
343,2.201581
344,2.18124199999999
345,2.183574
346,2.16406699999999
347,2.176707
348,2.145702
349,2.129063
350,2.112661
351,2.121802
352,2.100171
353,2.088945
354,2.063455
355,2.06582
356,2.042607
357,2.01912099999999
358,2.004994
359,2.001583
360,1.989249
361,1.95864199999999
362,1.92304
363,1.91027
364,1.89637299999999
365,1.877743
366,1.86673499999999
367,1.830122
368,1.806016
369,1.782287
370,1.774023
371,1.75338899999999
372,1.72737
373,1.698913
374,1.695398
375,1.690877
376,1.67505099999999
377,1.65851599999999
378,1.645654
379,1.626349
380,1.620158
381,1.600723
382,1.586372
383,1.584077
384,1.577014
385,1.55463
386,1.53863099999999
387,1.528161
388,1.476358
389,1.444727
390,1.433886
391,2.46277799999999
392,2.441198
393,2.439794
394,2.42804
395,2.425283
396,2.421794
397,2.413013
398,2.413327
399,2.401072
400,2.38426
401,2.387852
402,2.379796
403,2.376005
404,2.378188
405,2.366995
406,2.35975999999999
407,2.348896
408,2.346013
409,2.335622
410,2.318648
411,2.336923
412,2.32475
413,2.318665
414,2.331657
415,2.325738
416,2.31230999999999
417,2.316278
418,2.30946699999999
419,2.30242
420,2.277094
421,2.292309
422,2.272007
423,2.272259
424,2.272231
425,2.265342
426,2.259566
427,2.245705
428,2.247046
429,2.241536
430,2.240512
431,2.240147
432,2.226777
433,2.220544
434,2.211197
435,2.222236
436,2.20542599999999
437,2.205156
438,2.21021
439,2.207038
440,2.204135
441,2.197141
442,2.197354
443,2.173619
444,2.17735699999999
445,2.155018
446,2.171304
447,2.137701
448,2.12165
449,2.105904
450,2.118493
451,2.099368
452,2.089257
453,2.065717
454,2.068505
455,2.04597
456,2.022811
457,2.008787
458,2.00654599999999
459,1.995334
460,1.965344
461,1.92947599999999
462,1.91661699999999
463,1.901254
464,1.88485099999999
465,1.871774
466,1.83107999999999
467,1.81676899999999
468,1.790365
469,1.780975
470,1.755313
471,1.732486
472,1.706582
473,1.695914
474,1.686947
475,1.666615
476,1.64768
477,1.634037
478,1.612978
479,1.609265
480,1.595264
481,1.58194
482,1.580848
483,1.576537
484,1.561086
485,1.542361
486,1.533148
487,1.489876
488,1.460476
489,1.452146
