,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
85,3.576,3.656,3.691,3.6064,3.5832,3.5013,3.461,3.5441,3.5766,3.6718,3.7084,3.6117,3.5841,3.484,3.4402,3.5394,3.5748
86,3.5853,3.6666,3.7028,3.6182,3.5931,3.5044,3.4672,3.5543,3.5853,3.6814,3.7208,3.621,3.5931,3.4914,3.4461,3.5509,3.5856
87,3.5887,3.6715,3.7112,3.6194,3.594,3.5072,3.4623,3.5512,3.5875,3.6836,3.7304,3.6287,3.5962,3.4905,3.4402,3.5475,3.5875
88,3.5921,3.6728,3.7177,3.6275,3.5987,3.5094,3.4623,3.5515,3.5918,3.6852,3.7354,3.6312,3.5999,3.4926,3.4406,3.5497,3.5915
89,3.5999,3.6817,3.7292,3.6365,3.6073,3.5122,3.4647,3.5605,3.5996,3.6957,3.749,3.6411,3.608,3.497,3.4427,3.5518,3.5993
90,3.6018,3.6926,3.7326,3.6371,3.6086,3.515,3.4675,3.5602,3.6015,3.6982,3.7515,3.6405,3.6095,3.4991,3.444,3.5587,3.6011
91,3.6092,3.6929,3.7394,3.647,3.617,3.5196,3.4747,3.5673,3.6086,3.7168,3.7586,3.6523,3.6166,3.5044,3.4536,3.5661,3.6092
92,3.6092,3.6935,3.7379,3.6461,3.6173,3.5233,3.4799,3.5732,3.6101,3.7134,3.7571,3.6483,3.6173,3.5069,3.4561,3.5661,3.6092
93,3.6148,3.7041,3.7431,3.6501,3.621,3.5239,3.4815,3.5801,3.6129,3.7183,3.763,3.6529,3.6213,3.5084,3.4585,3.572,3.6132
94,3.4545,3.5063,3.5196,3.4697,3.4592,3.4092,3.3894,3.4393,3.4545,3.5134,3.5314,3.4731,3.4588,3.399,3.3761,3.435,3.4539
95,3.4576,3.5053,3.5243,3.4737,3.4613,3.4095,3.3897,3.4415,3.4573,3.5109,3.5354,3.475,3.4616,3.4018,3.3761,3.4371,3.4564
96,3.4573,3.5047,3.5249,3.4734,3.4601,3.4105,3.3897,3.4393,3.4548,3.5156,3.5351,3.474,3.461,3.4033,3.3773,3.4381,3.457
97,3.4576,3.5081,3.5243,3.4722,3.4619,3.4074,3.3897,3.4406,3.4576,3.5165,3.5354,3.4756,3.4607,3.3996,3.3767,3.4384,3.4564
98,3.457,3.5063,3.5243,3.474,3.4601,3.4095,3.3906,3.4443,3.4576,3.5143,3.5332,3.4737,3.4623,3.4009,3.3785,3.4409,3.4588
